source_id,ra,dec,parallax,phot_g_mean_mag,bp_rp,radial_velocity
5853498713190525696,217.39232147200883,-62.67607511676666,768.0665391873573,8.984749,3.8045802,-21.942726
4472832130942575872,269.44850252543836,4.739420051112412,546.975939730948,8.1939745,2.8336968,-110.46822
3864972938605115520,164.10319030755974,7.002726940984864,415.17941567802137,11.038391,4.1848364,
762815470562110464,165.83095967577933,35.948653032660104,392.75294543876464,6.551172,2.2156086,-85.11064
2947050466531873024,101.28662552099249,-16.720932526023173,374.48958852876103,8.524133,-0.27842712,
5140693571158946048,24.771674208211856,-17.947682860008488,373.8443122683992,10.817838,3.8285542,10.249533
5140693571158739840,24.771554293454546,-17.948299887129313,367.71189618147696,10.507542,3.7529564,21.458223
4075141768785646848,282.4587890175222,-23.83709744872712,336.0266016683708,9.126414,2.8340364,-11.11644
1926461164913660160,355.4800152581559,44.170375700747755,316.48118678226916,10.379277,3.5294142,-77.289825
5164707970261890560,53.22829341517546,-9.458168216292322,310.5772928005821,3.465752,1.1402977,
6553614253923452800,346.5039166796005,-35.8471642082214,304.1353692001036,6.5220323,2.0982852,8.306988
3796072592206250624,176.93768799004127,0.7991199702364985,296.3053079139394,9.601,3.0332584,
1872046574983497216,316.753662752556,38.75607277205679,286.0053518616485,5.4506445,1.7153406,-64.593544
1872046609345556480,316.7484792940004,38.76386244649797,285.99494829578117,4.766713,1.4625897,-65.97495
2154880616774131840,280.6830708352289,59.638357907754816,283.8401180184389,7.854393,2.4610577,-1.303306
2154880616774131712,280.68308624583415,59.635145454818776,283.8377678450057,8.524704,2.625472,0.87630755
385334230892516480,4.613226257557736,44.02478674398518,280.706821579123,7.218567,2.164384,11.367275
385334196532776576,4.625300681217554,44.02874451664357,280.6947310460246,9.686646,2.8360271,10.603611
6412595290592307840,330.8724078795965,-56.79725466122902,274.8431415216296,4.322904,1.2974195,-40.4267
2452378776434477184,26.009055057160104,-15.933680200693857,273.80974511859966,3.3003998,1.0512211,
4848140361962951552,54.00339387736301,-44.51436231604776,272.16154083178225,10.995456,3.6653757,1.4918072
2358524597030794112,18.13325425370941,-16.996154872479234,269.05730465038937,10.436525,3.1970692,
3139847906307949696,111.85462844259372,5.209382701706996,264.12689775460655,8.576388,2.7577581,17.353445
4810594479418041856,77.9599373502188,-45.0438126993602,254.19859326384577,8.063552,2.0266457,245.05313
6583272171336048640,319.2950181380955,-38.872456400701786,251.9124222107058,5.984104,1.8535872,20.70994
4330690742322011520,247.57481416249274,-12.66785108081103,232.13898083974135,8.801877,2.7315807,-21.797655
3902874650602495232,188.3144928018531,9.022091624851694,231.11849780261377,11.235116,3.5342093,
2306965202564744064,1.3832841523481234,-37.36774402806293,230.09703402875448,7.6824937,2.186049,25.126139
76868614540049408,30.058987047653364,13.044071201123836,223.73208720990553,10.681062,3.188181,-28.292406
3902874650601954816,188.3146767758809,9.021829208339808,223.47747382423316,11.240162,3.497839,
1637645127018395776,264.1040525731971,68.3334976375916,219.78977211974913,8.02864,2.518117,-28.90487
5951824121022278144,262.1701639221161,-46.89910489864381,219.64625138839503,8.336431,2.4648557,-3.370759
5332606522595645952,176.45664661730092,-64.843052846102,215.67527344818546,11.423104,0.28574753,
2079073928612821760,298.48192590176114,44.41290615922913,214.5745030256979,11.908311,3.822524,3.932475
2603090003484152064,343.3241110018443,-14.266689393516607,214.0379888743159,8.875059,2.8092842,-2.085692
5254061535106490112,161.08527551332452,-61.20263830459439,206.96977507456424,11.859422,3.6814375,155.60522
2441630500517079808,1.6763504259443918,-7.5464753252597605,206.35003920573322,11.773832,3.6749277,-40.457607
823773494718931968,152.8329289582321,49.451988897100506,205.31478196510724,5.9611735,1.7223029,-26.481712
778947814402602752,166.34205974427476,43.53094856108456,203.8875927696954,7.912665,2.104178,68.41321
625453654702751872,154.89881370110675,19.869809905451323,201.40642101948626,8.204091,2.564643,10.672628
6562924609150908416,323.3912518776402,-49.01263039681064,201.3251983325545,7.739947,2.2399096,12.723588
5955305209191546112,264.26088738973226,-44.323382243038424,199.6944012807481,9.602153,2.9048986,-34.901894
3195919254111315712,63.830787524383176,-7.672952135407352,199.6910732720413,9.54224,-0.1910038,
3195919528989223040,63.80795300602079,-7.6680778150199815,199.6080124181338,4.179894,1.0412455,-42.46972
3195919254111314816,63.82965602087436,-7.670903382610344,199.45161859738874,9.775309,2.9896755,-44.062584
1934263333784036736,341.7028254522359,44.3319533233193,197.95730094675557,9.005235,2.7301593,-0.23150428
4468557611977674496,271.36591160903725,2.4941987580927343,195.85633153170514,5.5392184,1.4856548,-9.467006
4468557611984384512,271.364453818457,2.495224095912567,195.5673545594233,3.987364,1.0036926,-5.730343
660597997696173440,134.55918967906837,19.762959843487355,194.14430904826264,11.96628,3.7769175,
3316364602541746048,90.01597644159976,2.7063740799024933,192.01346218785218,9.901327,2.8903284,29.956833
1129149723913123456,176.9394079814786,78.69329745305299,190.32514271529305,9.551337,2.701994,-111.504585
3187115498866675456,75.4868052125233,-6.948587409027854,186.04662779359126,10.649305,3.0327492,42.286324
3741297293732404352,206.4405658448607,14.885052704598573,183.99619525468464,7.6105833,2.1149225,15.581262
470826482637310080,67.80919062832808,58.967979971547436,181.24383901243414,9.702565,2.8958826,27.816954
939072613334579328,103.70012922713916,33.266408018167255,179.06293491259635,8.863551,2.5611715,22.296476
6882963066420161664,313.1361327596479,-16.974558468206272,177.93122142191174,10.081701,2.9015598,
3209938366665770752,82.86754111476276,-3.6865276019053095,175.31313655111924,7.1082892,2.121859,8.195142
2940856402123426176,92.64357908167638,-21.86782311323394,173.57398583239672,7.3134713,2.0742784,4.2265444
2261614264931057664,293.09759805108064,69.65345106254792,173.49391001786597,4.449041,0.9943154,26.55193
3340477717172813568,85.547707594821,12.482359917793618,172.67623105398982,10.11378,2.8699055,106.061874
6232511606838403968,224.37159427348143,-21.423140396261676,169.8842702825854,5.3640366,1.3236036,26.751173
5918660719983560192,266.6334444727895,-57.32506180218072,169.8041953551915,9.592273,2.5847359,-43.794724
6663600360560306560,290.20411626707914,-45.57110617010142,169.23508466417934,10.752913,3.0468893,6.040898
2739689239311660672,357.3066038231343,2.3969179441959985,169.21632962255026,8.152917,2.095766,-71.366135
4293318823182081408,289.2276515036191,5.162976302668586,169.06150528157374,8.099911,2.378519,35.329697
6002807341299977216,233.0469274248337,-41.28017408697192,168.9965073189456,8.2741785,2.4276128,21.063974
425040000962559616,12.285227381524425,57.81272812559009,168.83216034019418,3.3200667,0.8868861,
425040000962497792,12.281184764215306,57.815739188554126,168.71856118825883,6.762044,1.7540107,10.332795
4109030160308317312,258.83511696459266,-26.60789783205067,168.13027793748972,4.828591,1.0597496,
4109030160308320128,258.83412017812816,-26.606806615399403,168.00307885629599,4.831335,1.0583043,0.26360852
4109034455276324608,259.05329410009625,-26.551146094884785,167.9616795430231,5.889863,1.4148359,-0.067876756
3136952686035250688,116.1658359308822,3.5504844454883244,166.97689652666736,9.692206,2.997038,25.717104
6697578465310949376,302.8022690433109,-36.10821653736984,166.3272042796776,5.033037,1.101397,-129.27386
4847957293278177024,50.00034361894219,-43.06655252783423,165.5242095575573,4.063915,0.9325981,87.75779
946632924007399936,107.50514340448903,38.52526941964586,165.2146994337292,9.934659,3.105956,
6427464123776727168,302.19503988923026,-66.18709128441725,163.9544145383167,3.3641381,1.0192785,
6673000841376349696,303.4773905559996,-45.16473054247641,162.2171000791857,7.2426615,1.9117098,-33.51682
6324325225803432320,218.56843175696892,-12.516923853592898,159.9225477824956,9.894982,2.9232502,-1.359221
2824770686019004032,352.9716753030632,19.937313746866927,159.90846046252173,10.828941,3.174079,
2824770686019003904,352.97012375450475,19.93699282660293,159.66339203721853,9.043998,2.6609464,-0.20729986
6322070093095493504,229.85630133329227,-7.722707024157902,158.71827296463243,9.421787,2.5615683,-9.745852
1022456139210632064,138.5835616152243,52.68408016691263,157.88793077923938,6.976026,1.8173037,10.642178
1022456104850892928,138.5913117966687,52.68342944184038,157.8824911260602,7.054455,1.8464499,11.969568
3907283967108054528,184.74174734459442,11.126952372027485,154.69993660722557,11.926109,3.5332613,
1428427236986209024,246.35588833281682,54.30333866560462,154.35026839246862,9.139769,2.2954597,-13.3674
4339465360510320128,253.85142032580904,-8.32657626383978,153.87539543012036,10.444497,2.7784386,15.20472
5243594081269535872,145.69216012443803,-68.87998537875298,153.75934537322692,11.133258,3.1541195,30.433004
2009481748875806976,348.33773395483047,57.16966644274312,152.86400389732427,5.2318964,1.2163415,-18.675009
6153483658836320384,189.70080543573764,-38.387409124376816,150.07810926426842,11.226226,3.0590277,28.026112
3988987164339438208,165.0156786023955,22.831702302659366,148.19855031056267,8.977005,2.4295382,2.6542065
1237090738916392832,222.8466426652314,19.101104107947574,148.17931678941665,6.4300914,1.5178809,2.3123786
1237090738916392704,222.8480514738455,19.100269640072455,148.06949945238355,4.4804826,0.92511153,1.5923321
3098328182579892096,122.99468256110134,8.750401522062495,147.72184850183513,11.397289,2.992114,14.109083
1784473016438653056,322.40807988216517,17.64497780267456,147.4957775212429,9.108492,2.6544762,
5153091836072107136,45.462424511757,-16.59453280551054,145.69218853775283,10.058402,2.590352,-5.7440805
2828928008202069376,344.1402217312129,16.55216937227734,145.62341010499722,7.795021,2.1508222,-27.866117
3864615459886222464,162.7129640681676,6.804489538122279,143.53906190611502,10.290781,2.8693,-1.2423668
3855208897392952192,157.22878342623204,0.8377468877660948,142.09514314210975,8.675959,2.2955694,7.9766526
2195886971653527168,313.3324563031005,62.150957701503515,142.054284613815,7.756715,2.0436773,-17.7865
1952802469918554368,326.5928819418585,38.21751708114409,141.89460573855888,10.830858,2.814188,-82.91139
